"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","p_year","feature image","feature image_url"
"Petrochemical","Electric Heat Tracing Services","SABIC","Sabtank Jubail","Electrical & Instrumentation","Jubail","Maintenance of Electric heat tracing System,To provide Inventory spare parts for each system. To provid Engineering Design Package for any modifications supported with required statndars & Drawings.To perform Through maintenance checkup for each System","Normal","Completed","Sep-16","Dec-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Construction of Ammonia and Urea Operator Cabin","SABIC","Safco","Civil Construction","Jubail","The scope includes Design, Procurement, Construction of Ammonia & Urea Operator Cabin. Specialized Manpower like Fabricator, Steel Fixer, Rigger & Carpenter were involved in the job.","Normal","Completed","Oct-16","Jan-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Petrochemical","Filter Foundation work YANPET U10 CSU PROJECT ","SABIC / YANPET","eTEC Arabia","Construction Services","Yanbu","Scope of work includes Earth work( Site preparation Excavation (including Concrete Paving Demolition), Back Fill & Compaction,Disposal). Concrete Work(Structural Concrete,Lean Concrete,Form Work For Foundation, Re-Bar,Non-Shrinkage Grout (for Steel structure work),Joint & Sealant) & Coating Wok","Normal","Completed","Sep-16","Dec-16","Jul-05","",""
"Oil & Gas","MISC & MOC EXECUTION WORKS at YASREF Facility","YASREF","YASREF","Plant Services","Yanbu","The project scope includes 
Pipes   and   Valve    Fittings, Blinding,    De-blinding,     Measuring,     cutting, grinding,welding,    threading,pipefitting    and   installing    pipes   up  to  56"" inches   diameter, Install   and   remove   valves   up  to  56""  inches   diameter, Cold  cutting  of piping,  as required.,Pre and  Post  Weld  Heat  Treatment,Painting,   Cleaning   and  Grit  Blasting, Insulation  Work,Scaffolding   -  Design,  supply,  erection,  and dismantling   of  scaffolding. Fireproofing, Rotary  Equipment   Work,  Electrical   & Instrumentation    Work.","Normal","Completed","Oct-16","Apr-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/21.png"
"Oil & Gas","BOLT TENSIONING & ON-SITE MACHINING (02 years contract)","Saudi Aramco","Khursaniyah Gas Plant","Bolt Integrity Solutions","Khursaniyah","Bolt Torquing & Tensioning Services for Khursniyah Gas Plant for a period of two years contract","Normal","Completed","Aug-16","Jan-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Civil Work for EO Sales Gas Filter Project","Sadara","SADARA","Civil Construction","Jubail","THIS PROJECT JOB SCOPE COVERS 
Pipe lines fabrication and installation work of Sales Gas Filter at SADARA EO Plant. Removal of existing temporary structure, Concrete Work and Installation of Pedestals","Normal","Completed","Aug-16","Sep-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Installation of C20 Filter to capture Polymer LAO (Linear alpha olifines)","SABIC","UNITED","Plant Services","Jubail","During LAO  plant T/A, Following activities were performed, 
Design, Engineering, Supply, Installation,Testing and Commissioning assistance of new C20 filter to remove  the  insoluble polymer and metals thereby improving the quality of C20 product. along with associated site works including Piping, Fabrication, Welding, Civil/  structural  Work for  routing  of  pipes and cables covered under this project , Removal  and reinstallation of  Electrical heat tracing. Installation of instruments, Supply  and  laying  signal  cable, Loop  check  for  all  the  instruments ","Normal","Completed","Aug-16","Dec-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Electrical and Instrumentation Construction job for FSTF Project ","Sadara","SADARA","Electrical & Instrumentation","Jubail","The scope Contract include:   design and engineering services for modifications and repair of the heat tracing systems as well as delivery of the following components and services: 
  Heat Tracing Design Sheet & Load schedule   Schematic/Block Diagrams   Panel Single line diagrams   Panel Wiring Diagram   Datasheets and Catalogues   Inspection & Test Plans.   Test Certificates & Certificate of Conformity along with ITP.   Packing List with detailed shipping information   Thermon HTSX Self Regulating Heating Cables   Terminator Junction Boxes   Accessories for Heat Tracing Systems   Thermon PETK Termination Kits Installation of heat tracing material ","Normal","Completed","Aug-16","Apr-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Hexane Unloading facility","SABIC","Yansab","Plant Services","Yanbu","To Provide unloading Facility for HEXANE ISO container using existing pump. Also Procurement of material, Fabrication & Installation of Nitrogen, Hexane Lines 7 Drain lines.Hydrotesting.Scaffolding.Pre commissioning activities.","Normal","Completed","Jul-16","Jan-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/6.png"
"Petrochemical","Installation of New Cables and Trays","Sadara","SADARA","Electrical & Instrumentation","Jubail","Detail Job Scope
i.,,Procure and Lay new cable tray per Sadara Specification and remove the existing cable and tray of  Control valves ABV-830410
ii.,,ABV-830410 & FV-830402 valves cable testing, termination, loop checks etc.
iii.,,Procure required bulk components if any for to carryout above.
iv.. Performing all pre-commissioning activities of Cable testing, loop check etc.","Normal","Completed","Jul-16","Sep-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Control valve reinstallation and removel T/A 2016","Saudi Chevron","Saudi Fal","Plant Services","Jubail","Control valve reinstallation and removel T/A 2016
Scope of work includes, Lifting, Welding, Installation & Transportation.","Normal","Completed","Jul-16","Jan-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/27.png"
"Petrochemical","Instrumentation-Modification activities for EJN-00100_Pygas-Benzene_Jumpers_FSTF-RC_corridor-Port","Sadara","SADARA","Electrical & Instrumentation","Jubail","To Install a jumper Line between Pyga line and Benzene Line at FSTFBattery Limit to carry high quality(Nitrogen grade) benzene from port to purchased benzene tank in FSTF.","Normal","Completed","Jul-16","Apr-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","Testing of Earthing Pit and Lighting","SABIC","Gas Yanbu","Plant Services","Yanbu","The Scope of Work for this job involves the Preventive Maintenance of the Phase-I/II/III Grounding and lightning system.To do the Inspection of the complete grounding and lightning system & list any abnormalities observed. Cleaning & Tagging of earthing Pit.To  review the Location of all electrodes in reference to the As-built drawings & inform any abnormality.To do survey of Lightning system and Condition Monitoring of all related Equipments.","Normal","Completed","Jul-16","Jan-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","CIVIL WORK FOR E-52061-1 FOUNDATION – AR-RAZI PLANT-V","SABIC / Ar-Razi","MHI","Plant Services","Jubail","CIVIL WORK FOR E-52061-1 FOUNDATION – AR-RAZI PLANT-V","Normal","Completed","Jun-16","Dec-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/11.png"
"Oil & Gas","EXECUTION OF MULTIPLE MOCs","YASREF","YASREF","Plant Services","Yanbu","The  scope includes  installation  of  new  piping  spools,  valves  and  pressure transmitter,  internal  coating  of  coolant  drums,  electrical  and instrumentation  works. .  To supply  of material to be used for  site execution and commissioning activities.  To perform  Hydro  testing   ,  Flushing, Draining & Pre-commissioning activities.","Normal","Completed","Jul-16","Dec-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/21.png"
"Oil & Gas","SFC-for Bolt Torqueing activities at 474 Tr 200","Saudi Aramco","Berri Gas Plant","Bolt Integrity Solutions","Jubail","Bolt Torquing & Tensioning Services at BGP during the T&I","Normal","Completed","Jun-16","Jan-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Design of Temproary Support Project","SABIC","YANPET","Plant Services","Yanbu","The Scope Includes,
To  design the temporary supports  to with stand the load of pipes (live load), To remove  the existing civil support &To fabricate, supply & Install the temporary support at the location.","Normal","Completed","Jun-16","Jan-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Oil & Gas","Electrical PM works for Power Transformer of desalter V171 during 2017 CFS @ RRD","Saudi Aramco","Riyadh Refinery","Electrical Maintenance, Testing & Commissioning Services","Riyadh","The brief scope of work is as below:
To provide  all supervision,   manpower,  equipment,   tools  and test  instrument. To Perform  initial  inspection   of the  electrical  connection   system  especially  related  to the condition   of the transformers and bushing  connections. To Replace insulation oil of the  power  transformers, To Dismantle  electric  insulators and replace with new ones.To Remove the  electrical  entrance   bushing  from  the  bushing  housing and replace  it. To  Reinstall  all power  and control  cable of the  desalter  transformer.Pre-commission  the  transformers  as per SAUDI ARAMCO procedures.   ","Normal","Completed","Jun-16","May-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Mining & Minerals","Seed Filtrate Project at MAC ","MA'ADEN","Ma'aden Aluminium","Plant Services","Ras Al-Khair","The job includes 
Material Procurement, Piping Fabrication & Erection(including Pipe supports), Structural Works, Site NDT(RT & MPI), PWHT, Testing & Commissioning. Flanged Connections, Cutting , Welding, Grating & beam Connection.","Normal","Completed","Jun-16","Jul-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/18.png"
"Oil & Gas","TANAJIB Sour Gas Handling and Compression - TANAJIB Project","Saudi Aramco","Target Engneering","Civil Construction","Tanajib","The brief scope of work is as below:
Demolition Works, Excavation and Backfilling, Roads and Paving, Fence and Gates, Concrete Works, Equipment Foundations,Fence and Wall Foundations, Pipe rack and Pipe Supports, Drainage Systems, Sanitary holding tank,
Sanitary Sewer, Oily Water Sewer (OWS), Catch Basin and Clean out, Substation building, New UPS Room,
Concrete Culvert, Civil Work for electrical items Buried Cables, Duct Bank, Street pole foundation, pedestal
Fire water line Civil Works, Pilot Trenchg","Major","Completed","Jun-16","Feb-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Port Electricity Project","AMINAT","AMINAT","Plant Services","Jubail","The job includes: LV Cable Glanding & termination at Aminat and SAMAPCO substation, Supply & Installation of Cable Gland/Lugs/Cable Tags, ferrules. Continuity/megger test.,To perform all the work as per International Standards.","Normal","Completed","Jun-16","Aug-16","Jul-05","",""
"Petrochemical","INSTALLATION OF SECURITY LIGHTING POST FOR DAELIM KEMYA","SABIC / KEMYA","DAELIM","Construction Services","Jubail","The Scope of Work includes
Mobilization  of necessary  manpower,  equipment,  tools & consurnables.
Installation  of 40 Sets Security Fencing  Lighting  Post,
Cable Pulling with Termination, & Steel Support  Fabrication","Normal","Completed","Sep-16","Nov-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/7.png"
"Petrochemical","CIVIL MAINTENANCE SERVICES - (ITB-CON-S023)","SIPCHEM","SIPCHEM","Civil Construction","Jubail","This is a long form contract (LFC) For 3 Years and Extendable. The Project Includes 
Excavation, Backfilling Including Compaction, Concreting Works (Includes Mixing, Pouring/Placing And Curing), Grouting, Water Proofing, Finishing, Supply And Install (PVC  And GI Pipes For Cold And Hot Water Supply With All Corresponding Fittings, Tiles And Marbles Includes Adhesives, Skirting, Electrical Fixtures And Accessories, Doors And Windows With Complete Accessories).","Major","Ongoing","Jun-16","Jun-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/30.png"
"Oil & Gas","Main Construction Service for GAS PHASE IV (DBN) Debottlenecking Project","SABIC / Gas Jubail","WISON","Plant Services","Jubail","The Scope of work includes:
Demolishing the existing facilities and installation of mechanical equipment (including modification).
 fabrication defect or field design changes, as needed, Assembly of steelwork, using bolted and welded connections, Modification of related existing structural steel,Piping and support fabrication and installation, testing and cleaning (including Tie-in), Civil and foundation work, Demolition and installation of E&I facility, Electrical equipment modification, erection and test, Instrument installation, calibration and loop testing, Cable rack and tray installation. Electrical and instrument cable pulling, termination, Inspection and testing.
Support during Commissioning and Startup.","Major","Completed","Jul-16","Jul-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","Structural support inspection and repair","SABIC","IBN-SINA","Plant Services","Jubail","The Scope of Work Includes
Structural support inspection and repair workat IBN SINA, To provide of supervisors, Permit receivers, man / fire watch, welders, safety officers, fabricators/ pipe fitters, NDT technicians, QA/QC inspector & riggers.","Normal","Completed","Oct-15","Jun-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Petrochemical","Revamp Of Bagging Machine at PPS","SABIC","PetroKemya","Plant Services","Jubail","The Scope of Work Includes
Engineering(Design and engineering for tie inns of pneumatic piping, to pump, then pump to machine),
Procurement( Supply with Engineering for revamping Vacuum Pump for Bag opening System to replace with existing venture stem, Weighing contrroller upgrading)., Construction and assistance in commissioning","Normal","Completed","May-16","Jun-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Oil & Gas","Repairing of Fiber Optic Cable at KM 11  ","SATORP","SATORP","System Integration Solutions","Jubail","The Scope of Work Includes
Checking of Existing Condition of Fibre optic Cable, Fusion splicing of damaged Parts which include Stripping the fibre by remiving protective coationg, cleaning, Cleaving, Splicing & Testing of Fibre optic Cable.To supply all manpower, equipment & tools(like fusion splicer, optical source beam, power meter, OTDR etc) for the job.","Normal","Completed","May-16","Jun-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/26.png"
"Petrochemical","MECH Support services for 3TPS-20","SABIC","SHARQ","Plant Services","Jubail","The Scope of Work Includes
Removing and installing of pressure safety valves (PSV) 2. Connecting and disconnecting of pipelines. 3. Filters and strainers cleaning / replacement 4. Gaskets replacement 5. Removing and installing valves including ""instrument valves"" 6. Cutter knife replacement 7. Greasing and change / add oil activities 8. Pumps, blowers and compressors overhauling support 9. Rotary valves overhauling support 10. Remove and install heat exchangers covers 11. Pelletizer, FCM, LCM, gearboxes overhauling support 12. Bolts tightening 13. Blinding and de-blinding activities 14. Flexible hoses replacement 15. De-coupling, alignment and coupling for rotary equipment","Normal","Completed","May-16","Jan-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Power","Sub-Contract for Duct Work - El53 Project. ","SEC","Alfanar","System Integration Solutions","Jubail","Scope of work includes-
Intallation of complete HVAC Equipment  Including its Accessories, Duct Work,Chilled water pipes, condensate pipes, Cladding, Insulation, Valves and testing & Commissioning at alfanar project site power Plant  PP13 DURMAH in Riyadh as per SEC Specifications","Normal","Completed","Apr-16","Sep-17","Jul-05","",""
"Petrochemical","To Install Pressure Transmitter with Rubber Melt Tube","SABIC","SHARQ","Plant Services","Jubail","Scope of work includes installation of pressure transmitter with a rubber melt tube that will cover specific pipes of the Hydrogen area of PE1&2 plants, along with internal wiring to DCS components and to annunciator alarm in the operation console.","Normal","Completed","Aug-16","Sep-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Overhauling of Misc. Rotary Equipment -SPCO T/A 2016 ","Saudi Chevron","Saudi Chevron","Plant Services","Jubail","Scope of work includes Miscellaneous Rotary works such as repair & maintenance work on Rotary equipments like Agitator assemblies, Reactor coolant Pumps & Dryers for SPCO South Plants during forthcoming Turnaround 2016. ","Normal","Completed","Oct-16","Nov-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/27.png"
"Petrochemical","Supply and Install Fiber Cable at L2501","SADARA","SADARA","Electrical & Instrumentation","Jubail","Scope of work includes supply and installation of fiber optic cable Multimode Duplex, fiber cord, flexible conduit for cables dressing, breaking the fire sealing between cables cellar and EPMS panel/switchgear at cable/conduit entry point. Commissioning and testing of the installed equipment/instrument/cable. ","Normal","Completed","Jun-16","Sep-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Steel Structure Replacement","SABIC","SADAF","Plant Services","Jubail","The scope of work includes Engineering, procurement, and construction necessary to complete structural steel repairs and replacement of heavily corroded structural steel elements. ","Normal","Completed","Apr-16","Jul-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Transportation & Infrastructure","Subcontractor work for supply, delivey of different materials (School PA System, Master clock etc)","SATCO","SATCO","System Integration Solutions","Jubail","The scope of work includes supply and installation of Public Address system, Masterclock system, AV System, Data System, Telephone and Wireless system, IPTV System, BMS system, FIRE Alarm System.","Normal","Completed","Apr-16","Aug-16","Jul-05","",""
"Petrochemical","Overhauling of Kobleco Compressors - Site Work - SPCO TA 2016","Saudi Chevron","Saudi Chevron","Plant Services","Jubail","The scope of work includes Activities to remove the Compressor Rotors from Skid, Maintenance, Overhauling of compressors and installation of compressors on skid, presuure testing and comissioning. ","Normal","Completed","Oct-16","Nov-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/27.png"
"Mining & Minerals","Scaffolding Services LFC - MAC","MA'ADEN","Ma'aden Aluminium","Scaffolding Services","Ras Al-Khair","Provision of Scaffolding Services to MAC under Long Form Contract ","Major","Completed","November 2015","April 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/18.png"
"Petrochemical","Provide Scaffolding at PetroKemya","SABIC / PETROKEMYA","IICS","Scaffolding Services","Jubail","The scope of work includes supply of scaffolding at PetroKemya Plant. ","Normal","Completed","Mar-16","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Petrochemical","Yanpet 1 F&G System Upgrade Project  ","SABIC / YANPET","SEPAM","Scaffolding Services","Yanbu","The scope of work includes Supply, Erection & Dismantle of the Scaffold Material as required by project schedule at YANPET F&G system Upgrade Project.","Normal","Completed","Mar-16","Aug-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Install a stand by pump and level indication for storm water Lagoon","SABIC","SAFCO","Plant Services","Jubail","The project scope includes installation of standby pump and level indication in storm water lagoon. The brief scope of work is as below:
Design and detail engineering for installation of standby pump and level indicator, Procurement of pump, level transmitter, control panel, pipe, pipe fittings, and cables, Construction of civil foundation, rerouting of UPVC pipe and curb wall around pump area,Installation of new pump foundation.,Modification of SS piping.
Installation of new piping, valves and strainer.,Installation of new radar level transmitter.,Installation of new control panel.,Installation of cables.,Scaffolding erection.,Testing, commissioning and DCS configuration","Normal","Completed","Mar-16","Dec-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Petrochemical","Porta Cabin Office Complex","SADARA","SADARA","Construction Services","Jubail","The scope ofwork includes, construction of portable cabin, Single unit joint with two Porta Cabins,","Normal","Completed","May-16","Jul-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Replacement of over head lines of dehydration Coulmns,","SABIC","SHARQ","Plant Services","Jubail","The project scope is the replacement of the overhead lines of Dehydration columns 4C-1401/2/3/4/5 with SS Metallurgy. It involves the following activities:, Procurement of piping bulk material., Pre fabrication of piping and pipe supports., Painting, pickling and passivation for piping., Testing of pipe spools., Demolition of existing lines from dehydration columns 4C-1401/2/3/4/5., Installation and testing of new lines for dehydration columns 4C-1401/2/3/4/5., Tie-in connections.,The radiography will be conducted through SAFRAD and RSO will be present at the job site.,Scaffolding Erection.,nsulation installation.,Instruments works.,Ground preparation of crane.","Normal","Completed","Mar-16","Jun-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","DOW Reverse OSMOSIS Water KSA Project - IT COMMUNICATION TOWER DISMANTLING ","SADARA","Fluor","Construction Services","Jubail","The project includes  Disassembly and removal of IT Communications Tower, Dismantling of the Switch Cabinet, Dismantling of the wireless access point.","Normal","Completed","Mar-16","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Scaffolding at SHARQ ","SABIC / SHARQ","NUQBAH INTERGRATED CONTRACTING","Scaffolding Services","Jubail","The scope includes supply of scaffolding Services at SHARQ/SABIC in Jubail","Normal","Completed","Mar-16","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Fabrication and Welding Services (Annual rate contract) 9000000666 & 9000000405","Tasnee","Tasnee","Plant Services","Jubail","To provide services for fabrication, Welding, Sanblasting and Painting to be executed on call basis by utilizing Contractor qualified resources when required by TASNEE","Major","Completed","Mar-16","June 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Petrochemical","Electrical Heat Tracing at line P-133142-3 - HC87 ","SADARA","SADARA","Electrical & Instrumentation","Jubail","The Scope of work includes Electrical Heat Tracing at line P-133142-3 - HC87( labour, material, tool & transportation to complete the work)","Normal","Completed","Apr-16","Jun-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","Electrical & Instrumentation works at Abu Ali","Saudi Aramco","Al-Toukhi Company","Electrical & Instrumentation","Jubail","The Scope of work of the project is as follow:
Installation of  equipment and cables.
Supply and installation of cable Ties for dressing cable.
Supply and installation of phenolic & SS-Tags for installed cables.
Erect /Dismantle scaffolds or use equipment for installation.
Testing of cables LV  and MV cables.","Normal","Completed","Mar-16","Jul-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Mining & Minerals","Fabricaction, Construction, Erection and Installation of Waxer Unit in Rolling Mill ","MA'ADEN","MA'ADEN ALUMINIUM","Plant Services","Ras Al-Khair","The Scope of work includes Dismantling of existin equipment, Erection of structural steel wor, Installation of hydraulic equipment, Mobile crane operation, Scaffolding, Piping installation & installation of Waxer, Electrical installations( Cable Channels & Cable protection pipe) are also included in scope of work","Normal","Completed","Feb-16","May-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Oil & Gas","NITROGEN PIPELINE UPGRADE ALONG T-183/ T-154","SABIC","Gas Jubail","Plant Services","Jubail","The scope of work includes Procurement/Supply of materials alongwith Fabrication, Construction, Testing and Commissioning support of the pipeline and metering station with all necessary activities for Successful Completion and operation of the Project.","Normal","Completed","Feb-16","Dec-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","Structural Modification to Manturbo Shed","Advanced Petrochmemical Company","Advanced Petrochmemical Company","Plant Services","Jubail","This project involves Shelter modification and installation of New 25 ton Crane in Regeneration air compressor shelter","Normal","Completed","Feb-16","Sep-16","Jul-05","",""
"Oil & Gas","CONSTRUCTION OF MAIN WORKS for YANPET/KEMYA Ethane gas Pipeline Delivery System (ARAMCO)","Saudi Aramco","DAELIM","Construction Services","Yanbu","CONSTRUCTION OF MAIN WORKS for YANPET/KEMYA Ethane gas Pipeline Delivery System (ARAMCO) 
It includes all the related mechanical, electrical, instrumentaiton, low current activities for the successful completion of this project. ","Major","Completed","May-16","May-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Galvanization of steel structure","SADARA","DAELIM","Construction Services","Jubail","Galvanization of Channels, Angles and Steel Plates.","Normal","Completed","Jan-16","Jan-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","Requirement of scaffolding and green net","SATORP","SATORP","Scaffolding Services","Jubail","Scaffolding Erection with green net screen installation at transfer tower counterweights and acceleration chutes in critical dust accumulation areas.","Normal","Completed","Jan-16","Jan-17","Jul-05","    ","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/26.png"
"Petrochemical","Replacement of damaged Fiber cable L0541","SADARA","SADARA","Electrical & Instrumentation","Jubail","Replacement of damaged Fiber cable at SADARA plant. ","Normal","Completed","Sep-15","Dec-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Metal","Relocation of Roughing Mill Stand","SABIC / HADEED","PRIMETALS TECHNOLOGIES","Plant Services","Jubail","Relocation of Roughing Mill Stand","Normal","Completed","Dec-15","Jan-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Petrochemical","Sump Concrete Walls Repair and Install Steel Liner","Saudi Chevron","Saudi Chevron","Civil Construction","Jubail","This project involves Removal/Demolition of existing RCC sump pump; Insall steel liner Plates & leak detector tube inside sump; Reinstate top slab with new precast slab & steel plates; Reinstall all affected connections","Normal","Completed","Jan-16","Jul-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/27.png"
"Petrochemical","Construct New Chemical Storage Area ","SABIC","SADAF","Civil Construction","Jubail","This project involves construction of new chmical storage area with ramp; supply of material (permanent and consumable), tools, labors, equipment, supervision, mobilization & demobilization and miscellaneous services necessary to do the required work.","Normal","Completed","Jan-16","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Oil & Gas","Request for Toruqe Tools","SATORP","SATORP","Bolt Integrity Solutions","Jubail","To supply torque tools(Hydraulic torque wrenches) with the torque capacity as per requirement of Aramco.","Normal","Completed","Feb-16","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/26.png"
"Metal","Replacement of Steam Pipes CCM PPL T/A","SABIC","HADEED","Plant Services","Jubail","REPLACEMENT OF STEAM PIPES - DURING HADEED CMC TURANROUND ","Normal","Completed","Jan-16","Feb-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Petrochemical","Implementation of EG 1&2 and LAO MOCS","SABIC","UNITED","Plant Services","Jubail","Fabrication of spools,Hydrotesting of lines, disconnection and removal of instruments,modification of steel structure,installation of control valves and new lines, loopchecking, installation of new reboilers,installation of steam tracing, scaffolding and insulation","Normal","Completed","Jan-16","Mar-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Install standby one Re-Boiler For LP De-Ethaniser Column","SABIC / SHARQ","HKL Sadiq","Plant Services","Jubail","•.Piping, Fabrication and site installation of one Re-Boiler For LP De-Ethaniser Column
•Supply of equipment required for the fabrication and installation","Normal","Completed","Jan-16","May-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Pressure Transmitter Insatallation PE 3&4 TAM","SABIC","SHARQ","Plant Services","Jubail","This project involves Pressure Transmitter Insatallation in plant PE 3&4 during the annual S/D. ","Normal","Completed","Dec-15","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Fabrication of Pipe Cold Support","SADARA","DAELIM","Construction Services","Jubail","Fabrication of Pipe Cold Support","Normal","Completed","Nov-15","Dec-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Civil / Structural work ","SABIC / IBN ZAHR","Olayan Descon","Civil Construction","Jubail","This project involves Civil / Structural work at SABIC affilizate Ibn Zahr ","Normal","Completed","Feb-16","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Petrochemical","Waste Higher Alcohol (WHA) Construction Project","SABIC","Ar-Razi","Plant Services","Jubail","The project involves procurement, fabrication, modification, construction, testing and commissioning of methanol recovery Waste Higher Alcohol (WHA) side cut unit for plant II. WHA system comprisses of pumps, piping, storage thanks, electrical works, column and exchangers, instrumentation and control system/DCS integration with existing system by adding new hardware and software, civil, firefighting, etc. ","Major","Completed","Nov-15","Jun-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Mining & Minerals","Sump Pump - Pipeline Construction Works","MA'ADEN","Ma'aden Aluminium","Plant Services","Jubail","The job includes 
Pipe line Construction work for Sump Pump Discharge, Fabrication, Erection, Welding, Cutting of pipe, Flange Handling, NDT, Scaffolding above 8 meters.","Normal","Completed","Dec-15","Jun-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/18.png"
